name,source,expected_attack_class,disclosure_date,notes
websockets2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
ultraAnthropic,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
spacy-common,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wandb_py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
websockets-binding,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
twine2024,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
ultraDjango,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
celery_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pip-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
django2025,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
xgboost-v2,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
anthropic-kit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
flask-simple,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
transformers_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
click-common,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wheel-modern,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pllow,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
pandas-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gensim-api,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tox-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
easyPolars,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
adsk,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
langchain_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
requests-sync,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
whel,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
pydantic-core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
nextOpencv,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
fastAnthropic,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pyOpenai,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wheel-official,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tsarlette,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
numpy_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
seaborn-next,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
opecnv,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
poetry-simple,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
httpx-v2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
isort-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pandas-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
autoWandb,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
scipy-core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
requests-simple,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
numpy3,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
statsmodels-addon,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
statsmodels-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
typer-pro,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pre-commit-py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
zPandas,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
proGensim,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gunicorn-next,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
requests-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
openRedis,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ray_py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
polars-modern,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ruff-kit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
sqlalchemy-extras,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
openai-binding,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
blacck,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
proTensorflow,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
celery-v2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
ray-extra,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
sqlalchemy_py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wheel-extra,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
numpy-official,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
nextRedis,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-asyncio-fast,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
catboost-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
boto3-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
boto3_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wheel_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
superSpacy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pillow-wrapper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
neoSeaborn,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
polars_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
flask-easy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pydantic-extra,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
superMlflow,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
lightgbm-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
poetry-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
transforrmers,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
neoVirtualenv,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
lightgbm_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gunicorn-pro,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
black-cli,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
plusMatplotlib,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
starlette2024,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
celery-modern,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
kafka3,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
wandb-easy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pandas-lite,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ruff3,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
gunicorn_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
uvicorn-addon,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
scikit-learn-async,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
xgboost-utils,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
torch-lite,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
transformers_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
statsmodels-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gunicorn-extras,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
numpy-common,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
typer-addon,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
catboost-v2,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
twine_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
click-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
transformers-fast,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pipDjango,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
simpleTransformers,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tox_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
isort4,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
numpy-easy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
lightgbm-simple,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pip_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
openai-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
rediis,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
poetry3,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
lightgbm-v2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
pre-commit-pro,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
typer-official,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
opencv-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
virtualenv-extra,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wandb-extra,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
huggingface-hub-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
typer-python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
seaborn-sync,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wandb-v2,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
transformers-simple,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
isort-easy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
scikit_learn_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
asyncio-core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
matplotlib-async,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tox-binding,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
black-async,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
potery,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
reds,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
seaborn-v2,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pipLangchain,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
django-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
openHuggingfacehub,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
dask-v2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
asyncio_py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
sqlalchemy-fast,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
kafka-extras,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
toorch,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
modernSpacy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
uvicorn-py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pydantic-pro,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
fastIsort,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
seaborn-utils,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
setuptools-binding,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-asyncio-easy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
openPolars,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
setuptools-async,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pipBlack,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tox-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gunicorn-api,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
mlAiohttp,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
nltk-compat,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
anthropic-next,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
deepRuff,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
mypy-async,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
isort-wrapper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
simpleUvicorn,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
spacy-tools,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
websockets_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
django-core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
websockets-common,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-asyncio-cli,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
httpx-kit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
modernOpenai,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
spacy-api,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pydantic-v2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
xgboost-next,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
simpleWandb,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-utils,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
sqlalchemy-pro,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gensim-v2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
easyMlflow,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pipTwine,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gensim-lite,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
asyncio-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
zStarlette,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
poetry-core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
flask-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
kafka2024,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
easyRedis,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
sqlalchemy-binding,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pyFlask,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
typer-next,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
langchain-extra,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ray_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ruff-wrapper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
sqlalchemy2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
xgboost-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tensorflow_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-api,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
sqlalchemy-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
uvicorn-wrapper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
mlRedis,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
click_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pyStatsmodels,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-next,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
matplotlib-utils,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-asyncio-py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
celery-core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
celery-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pre-commit-fix,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
asyncio-kit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
matplotlib_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wheel-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
aiohttp-simple,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
redis_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
oppencv,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
statsmodels-extended,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
catboost_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
django-cli,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
lightning-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
twwine,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
requests_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
aiohttp-extra,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
httpx2024,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
pyTransformers,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pre-commit-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
uvicorn-fast,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
setuptools-api,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
scikit_learn_core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
transformers-next,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
easyDask,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
neoRay,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
mypy-sync,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-asynecio,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
openai-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
opennai,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
proSetuptools,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
numpy-cli,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
typer-extra,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ruff-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
aiohttp3,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
uvicorn-api,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
proStatsmodels,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
setuptools-extended,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
redis-fix,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
uvicorn_py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
kafka_main,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
redis-fast,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ray-easy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
uvicorn3,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
isort-binding,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
sqlalchemy-next,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-extra,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
boto32,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
ruff-fast,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
aioohttp,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
spacy-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pyTox,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
nextLangchain,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
requests-fix,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
matplotlib-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pandas-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
panidas,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
wheel-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
kafka-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
polars-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
polars-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pyGunicorn,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
dask-kit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
sqalalchemy,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
plusSetuptools,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
mlKafka,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pillow2025,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
asncio,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
uvicorn-easy,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
scipy-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tox-official,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
flask-api,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
scikit-learn-kit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
xgboost-lite,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
isort-py,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
setuptools-compat,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gunicorn-kit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gunicorn-toolkit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
autoAsyncio,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
aiohttp-utils,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
kafka4,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
simpleMlflow,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
setuptools-sdk,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
catboost-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
mlAnthropic,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
spacy-modern,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
spacy-client,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
gensim-tools,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
typer2,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
tox-kit,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
click-binding,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
setuptools4,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
nltk-tools,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
setuptools-official,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
aiohttp-core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
spacy-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
asyncio-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
celery-common,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
starlette_python,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tensorflow-v2,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ray-compat,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
httpx-bindings,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
deepWandb,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ray-next,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-asyncio-pro,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
deepCatboost,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pillow-binding,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
asyncio-next,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
anthropic-api,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
wandb-next,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
redis-official,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
back,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
deepTorch,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
tensorflow-plus,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
websockets-extras,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
openai-ext,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
pndas,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
twine-core,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
spacy3,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
click-fix,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
ruff4,synthetic_population,typosquatting,,Auto-generated representative sample (Spracklen patterns)
pytest-modern,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
transformers-helper,synthetic_population,slopsquatting,,Auto-generated representative sample (Spracklen patterns)
